pop,hispanic_or_latino,white,black,native_american,asian,nhpi,other,two_or_more,sex_ratio,bachelors,income,foreign_born,age,county,state,margin
"80,244.000",0.024,0.623,0.321,0.004,0.005,0.001,0.001,0.021,0.931,0.105,"43,969",0.020,41.40,Talladega, Alabama,-0.26
"40,450.000",0.024,0.688,0.271,0.001,0.004,0.000,0.000,0.011,0.942,0.109,"48,160",0.016,45,Tallapoosa, Alabama,-0.43
"208,854.000",0.038,0.610,0.321,0.001,0.016,0.000,0.001,0.011,0.927,0.348,"54,283",0.035,33.20,Tuscaloosa, Alabama,-0.15
"63,802.000",0.026,0.883,0.060,0.002,0.004,0.000,0.002,0.024,0.965,0.136,"45,833",0.013,42,Walker, Alabama,-0.68
"16,336.000",0.009,0.652,0.242,0.074,0.002,0.000,0.002,0.019,0.980,0.181,"42,331",0.013,43.80,Washington, Alabama,-0.49
"10,552.000",0.005,0.268,0.703,0.001,0.000,0.000,0.000,0.024,0.859,0.080,"35,063",0.006,40.90,Wilcox, Alabama,0.38
"23,712.000",0.031,0.935,0.008,0.003,0.004,0.001,0.000,0.018,0.965,0.177,"40,991",0.013,46.10,Winston, Alabama,-0.82
"16,391.000",0.098,0.608,0.047,0.112,0.036,0.001,0.001,0.095,1.083,0.253,"68,484",0.054,32.90,District 1, Alaska,0.00
"18,497.000",0.098,0.621,0.108,0.032,0.040,0.024,0.025,0.051,1.227,0.252,"63,561",0.072,24.80,District 2, Alaska,-0.26
"19,117.000",0.084,0.740,0.039,0.075,0.012,0.000,0.000,0.050,1.169,0.262,"89,049",0.029,31.50,District 3, Alaska,-0.50
"18,464.000",0.053,0.802,0.006,0.030,0.031,0.000,0.002,0.076,1.079,0.444,"87,678",0.037,39,District 4, Alaska,0.06
"16,863.000",0.065,0.640,0.040,0.103,0.052,0.002,0.002,0.096,1.222,0.373,"77,019",0.062,34,District 5, Alaska,0.01
"18,345.000",0.061,0.630,0.010,0.225,0.015,0.001,0.000,0.057,1.217,0.289,"59,620",0.046,33.70,District 6, Alaska,-0.26
"22,932.000",0.052,0.780,0.009,0.065,0.021,0.002,0.000,0.071,1.053,0.205,"71,569",0.046,35.90,District 7, Alaska,-0.50
